// 3目标 + 新拥挤距离 + fix/priori/assemble
start:
Enemy Loss average: 	234.2	Enemy Loss best: 	300	My Team Loss average: 	83.76	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	235.1	Enemy Loss best: 	300	My Team Loss average: 	84.24	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	234.6	Enemy Loss best: 	300	My Team Loss average: 	80.36	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	235.2	Enemy Loss best: 	300	My Team Loss average: 	79.68	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	233.2	Enemy Loss best: 	300	My Team Loss average: 	76.38	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	233.2	Enemy Loss best: 	300	My Team Loss average: 	76.38	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	235.2	Enemy Loss best: 	300	My Team Loss average: 	80.08	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	230.6	Enemy Loss best: 	300	My Team Loss average: 	74.04	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	237.5	Enemy Loss best: 	300	My Team Loss average: 	77.7	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	237.8	Enemy Loss best: 	300	My Team Loss average: 	78.34	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	239.4	Enemy Loss best: 	300	My Team Loss average: 	80.2	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	238.7	Enemy Loss best: 	300	My Team Loss average: 	79.34	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	239.1	Enemy Loss best: 	300	My Team Loss average: 	79.24	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	237	Enemy Loss best: 	300	My Team Loss average: 	74.48	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	239.1	Enemy Loss best: 	300	My Team Loss average: 	76.22	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	238.2	Enemy Loss best: 	300	My Team Loss average: 	74.74	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	235.6	Enemy Loss best: 	300	My Team Loss average: 	69.68	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	234.8	Enemy Loss best: 	300	My Team Loss average: 	67.36	My Team Loss best: 	0	 average: 	300	 best: 	300	
Enemy Loss average: 	234.7	Enemy Loss best: 	300	My Team Loss average: 	66.88	My Team Loss best: 	0	 average: 	300	 best: 	300	
