tcp        0      0 127.0.0.1:4070          0.0.0.0:*               LISTEN      36338/SC2_x64       
udp        0      0 127.0.0.1:4072          0.0.0.0:*                           36318/SC2_x64       
tcp        0      0 127.0.0.1:4073          0.0.0.0:*               LISTEN      36318/SC2_x64       
udp        0      0 127.0.0.1:4074          0.0.0.0:*                           36338/SC2_x64       
tcp        0      0 127.0.0.1:4075          0.0.0.0:*               LISTEN      36338/SC2_x64       
tcp        0      0 127.0.0.1:4079          0.0.0.0:*               LISTEN      36308/SC2_x64       
tcp        0      0 127.0.0.1:4080          0.0.0.0:*               LISTEN      36313/SC2_x64       
udp        0      0 127.0.0.1:4082          0.0.0.0:*                           36308/SC2_x64       
tcp        0      0 127.0.0.1:4083          0.0.0.0:*               LISTEN      36308/SC2_x64       
udp        0      0 127.0.0.1:4084          0.0.0.0:*                           36313/SC2_x64       
tcp        0      0 127.0.0.1:4085          0.0.0.0:*               LISTEN      36313/SC2_x64       
tcp        0      0 127.0.0.1:4089          0.0.0.0:*               LISTEN      36310/SC2_x64       
tcp        0      0 127.0.0.1:4090          0.0.0.0:*               LISTEN      36322/SC2_x64       
udp        0      0 127.0.0.1:4092          0.0.0.0:*                           36310/SC2_x64       
tcp        0      0 127.0.0.1:4093          0.0.0.0:*               LISTEN      36310/SC2_x64       
udp        0      0 127.0.0.1:4094          0.0.0.0:*                           36322/SC2_x64       
tcp        0      0 127.0.0.1:4095          0.0.0.0:*               LISTEN      36322/SC2_x64       
tcp        0      0 127.0.0.1:4099          0.0.0.0:*               LISTEN      36315/SC2_x64       
tcp        0      0 127.0.0.1:4100          0.0.0.0:*               LISTEN      36320/SC2_x64       
udp        0      0 127.0.0.1:4102          0.0.0.0:*                           36315/SC2_x64       
tcp        0      0 127.0.0.1:4103          0.0.0.0:*               LISTEN      36315/SC2_x64       
udp        0      0 127.0.0.1:4104          0.0.0.0:*                           36320/SC2_x64       
tcp        0      0 127.0.0.1:4105          0.0.0.0:*               LISTEN      36320/SC2_x64       
tcp        0      0 127.0.0.1:4109          0.0.0.0:*               LISTEN      36326/SC2_x64       
tcp        0      0 127.0.0.1:4110          0.0.0.0:*               LISTEN      36332/SC2_x64       
udp        0      0 127.0.0.1:4112          0.0.0.0:*                           36326/SC2_x64       
tcp        0      0 127.0.0.1:4113          0.0.0.0:*               LISTEN      36326/SC2_x64       
udp        0      0 127.0.0.1:4114          0.0.0.0:*                           36332/SC2_x64       
tcp        0      0 127.0.0.1:4115          0.0.0.0:*               LISTEN      36332/SC2_x64       
tcp        0      0 127.0.0.1:4119          0.0.0.0:*               LISTEN      36397/SC2_x64       
tcp        0      0 127.0.0.1:4120          0.0.0.0:*               LISTEN      36444/SC2_x64       
udp        0      0 127.0.0.1:4122          0.0.0.0:*                           36397/SC2_x64       
tcp        0      0 127.0.0.1:4123          0.0.0.0:*               LISTEN      36397/SC2_x64       
udp        0      0 127.0.0.1:4124          0.0.0.0:*                           36444/SC2_x64       
tcp        0      0 127.0.0.1:4125          0.0.0.0:*               LISTEN      36444/SC2_x64       
tcp        0      0 127.0.0.1:4129          0.0.0.0:*               LISTEN      36368/SC2_x64       
tcp        0      0 127.0.0.1:4130          0.0.0.0:*               LISTEN      36372/SC2_x64       
udp        0      0 127.0.0.1:4132          0.0.0.0:*                           36368/SC2_x64       
tcp        0      0 127.0.0.1:4133          0.0.0.0:*               LISTEN      36368/SC2_x64       
udp        0      0 127.0.0.1:4134          0.0.0.0:*                           36372/SC2_x64       
tcp        0      0 127.0.0.1:4135          0.0.0.0:*               LISTEN      36372/SC2_x64       
tcp        0      0 127.0.0.1:4139          0.0.0.0:*               LISTEN      36350/SC2_x64       
tcp        0      0 127.0.0.1:4140          0.0.0.0:*               LISTEN      36356/SC2_x64       
udp        0      0 127.0.0.1:4142          0.0.0.0:*                           36350/SC2_x64       
tcp        0      0 127.0.0.1:4143          0.0.0.0:*               LISTEN      36350/SC2_x64       
udp        0      0 127.0.0.1:4144          0.0.0.0:*                           36356/SC2_x64       
tcp        0      0 127.0.0.1:4145          0.0.0.0:*               LISTEN      36356/SC2_x64       
tcp        0      0 127.0.0.1:4149          0.0.0.0:*               LISTEN      36342/SC2_x64       
tcp        0      0 127.0.0.1:4150          0.0.0.0:*               LISTEN      36363/SC2_x64       
udp        0      0 127.0.0.1:4152          0.0.0.0:*                           36342/SC2_x64       
tcp        0      0 127.0.0.1:4153          0.0.0.0:*               LISTEN      36342/SC2_x64       
udp        0      0 127.0.0.1:4154          0.0.0.0:*                           36363/SC2_x64       
tcp        0      0 127.0.0.1:4155          0.0.0.0:*               LISTEN      36363/SC2_x64       
tcp        0      0 127.0.0.1:4159          0.0.0.0:*               LISTEN      36328/SC2_x64       
tcp        0      0 127.0.0.1:4160          0.0.0.0:*               LISTEN      36344/SC2_x64       
udp        0      0 127.0.0.1:4162          0.0.0.0:*                           36328/SC2_x64       
tcp        0      0 127.0.0.1:4163          0.0.0.0:*               LISTEN      36328/SC2_x64       
udp        0      0 127.0.0.1:4164          0.0.0.0:*                           36344/SC2_x64       
tcp        0      0 127.0.0.1:4165          0.0.0.0:*               LISTEN      36344/SC2_x64       
tcp        0      0 127.0.0.1:4169          0.0.0.0:*               LISTEN      36391/SC2_x64       
tcp        0      0 127.0.0.1:4170          0.0.0.0:*               LISTEN      36433/SC2_x64       
udp        0      0 127.0.0.1:4172          0.0.0.0:*                           36391/SC2_x64       
tcp        0      0 127.0.0.1:4173          0.0.0.0:*               LISTEN      36391/SC2_x64       
udp        0      0 127.0.0.1:4174          0.0.0.0:*                           36433/SC2_x64       
tcp        0      0 127.0.0.1:4175          0.0.0.0:*               LISTEN      36433/SC2_x64       
tcp        0      0 127.0.0.1:4179          0.0.0.0:*               LISTEN      36324/SC2_x64       
tcp        0      0 127.0.0.1:4180          0.0.0.0:*               LISTEN      36336/SC2_x64       
udp        0      0 127.0.0.1:4182          0.0.0.0:*                           36324/SC2_x64       
tcp        0      0 127.0.0.1:4183          0.0.0.0:*               LISTEN      36324/SC2_x64       
udp        0      0 127.0.0.1:4184          0.0.0.0:*                           36336/SC2_x64       
tcp        0      0 127.0.0.1:4185          0.0.0.0:*               LISTEN      36336/SC2_x64       
tcp        0      0 127.0.0.1:4189          0.0.0.0:*               LISTEN      36378/SC2_x64       
tcp        0      0 127.0.0.1:4190          0.0.0.0:*               LISTEN      36382/SC2_x64       
udp        0      0 127.0.0.1:4192          0.0.0.0:*                           36378/SC2_x64       
tcp        0      0 127.0.0.1:4193          0.0.0.0:*               LISTEN      36378/SC2_x64       
udp        0      0 127.0.0.1:4194          0.0.0.0:*                           36382/SC2_x64       
tcp        0      0 127.0.0.1:4195          0.0.0.0:*               LISTEN      36382/SC2_x64       
tcp        0      0 127.0.0.1:4199          0.0.0.0:*               LISTEN      36330/SC2_x64       
tcp        0      0 127.0.0.1:4200          0.0.0.0:*               LISTEN      36365/SC2_x64       
udp        0      0 127.0.0.1:4202          0.0.0.0:*                           36330/SC2_x64       
tcp        0      0 127.0.0.1:4203          0.0.0.0:*               LISTEN      36330/SC2_x64       
udp        0      0 127.0.0.1:4204          0.0.0.0:*                           36365/SC2_x64       
tcp        0      0 127.0.0.1:4205          0.0.0.0:*               LISTEN      36365/SC2_x64       
tcp        0      0 127.0.0.1:4209          0.0.0.0:*               LISTEN      36393/SC2_x64       
tcp        0      0 127.0.0.1:4210          0.0.0.0:*               LISTEN      36441/SC2_x64       
udp        0      0 127.0.0.1:4212          0.0.0.0:*                           36393/SC2_x64       
tcp        0      0 127.0.0.1:4213          0.0.0.0:*               LISTEN      36393/SC2_x64       
udp        0      0 127.0.0.1:4214          0.0.0.0:*                           36441/SC2_x64       
tcp        0      0 127.0.0.1:4215          0.0.0.0:*               LISTEN      36441/SC2_x64       
tcp        0      0 127.0.0.1:4219          0.0.0.0:*               LISTEN      36334/SC2_x64       
tcp        0      0 127.0.0.1:4220          0.0.0.0:*               LISTEN      36352/SC2_x64       
udp        0      0 127.0.0.1:4222          0.0.0.0:*                           36334/SC2_x64       
tcp        0      0 127.0.0.1:4223          0.0.0.0:*               LISTEN      36334/SC2_x64       
udp        0      0 127.0.0.1:4224          0.0.0.0:*                           36352/SC2_x64       
tcp        0      0 127.0.0.1:4225          0.0.0.0:*               LISTEN      36352/SC2_x64       
tcp        0      0 127.0.0.1:4229          0.0.0.0:*               LISTEN      36459/SC2_x64       
tcp        0      0 127.0.0.1:4230          0.0.0.0:*               LISTEN      36549/SC2_x64       
udp        0      0 127.0.0.1:4232          0.0.0.0:*                           36459/SC2_x64       
tcp        0      0 127.0.0.1:4233          0.0.0.0:*               LISTEN      36459/SC2_x64       
udp        0      0 127.0.0.1:4234          0.0.0.0:*                           36549/SC2_x64       
tcp        0      0 127.0.0.1:4235          0.0.0.0:*               LISTEN      36549/SC2_x64       
tcp        0      0 127.0.0.1:4239          0.0.0.0:*               LISTEN      36380/SC2_x64       
tcp        0      0 127.0.0.1:4240          0.0.0.0:*               LISTEN      36411/SC2_x64       
udp        0      0 127.0.0.1:4242          0.0.0.0:*                           36380/SC2_x64       
tcp        0      0 127.0.0.1:4243          0.0.0.0:*               LISTEN      36380/SC2_x64       
udp        0      0 127.0.0.1:4244          0.0.0.0:*                           36411/SC2_x64       
tcp        0      0 127.0.0.1:4245          0.0.0.0:*               LISTEN      36411/SC2_x64       
tcp        0      0 127.0.0.1:4249          0.0.0.0:*               LISTEN      36403/SC2_x64       
tcp        0      0 127.0.0.1:4250          0.0.0.0:*               LISTEN      36480/SC2_x64       
udp        0      0 127.0.0.1:4252          0.0.0.0:*                           36403/SC2_x64       
tcp        0      0 127.0.0.1:4253          0.0.0.0:*               LISTEN      36403/SC2_x64       
udp        0      0 127.0.0.1:4254          0.0.0.0:*                           36480/SC2_x64       
tcp        0      0 127.0.0.1:4255          0.0.0.0:*               LISTEN      36480/SC2_x64       
tcp        0      0 127.0.0.1:4259          0.0.0.0:*               LISTEN      36354/SC2_x64       
tcp        0      0 127.0.0.1:4260          0.0.0.0:*               LISTEN      36385/SC2_x64       
udp        0      0 127.0.0.1:4262          0.0.0.0:*                           36354/SC2_x64       
tcp        0      0 127.0.0.1:4263          0.0.0.0:*               LISTEN      36354/SC2_x64       
udp        0      0 127.0.0.1:4264          0.0.0.0:*                           36385/SC2_x64       
tcp        0      0 127.0.0.1:4265          0.0.0.0:*               LISTEN      36385/SC2_x64       
tcp        0      0 127.0.0.1:4269          0.0.0.0:*               LISTEN      36477/SC2_x64       
tcp        0      0 127.0.0.1:4270          0.0.0.0:*               LISTEN      36561/SC2_x64       
udp        0      0 127.0.0.1:4272          0.0.0.0:*                           36477/SC2_x64       
tcp        0      0 127.0.0.1:4273          0.0.0.0:*               LISTEN      36477/SC2_x64       
udp        0      0 127.0.0.1:4274          0.0.0.0:*                           36561/SC2_x64       
tcp        0      0 127.0.0.1:4275          0.0.0.0:*               LISTEN      36561/SC2_x64       
tcp        0      0 127.0.0.1:4279          0.0.0.0:*               LISTEN      36360/SC2_x64       
tcp        0      0 127.0.0.1:4280          0.0.0.0:*               LISTEN      36388/SC2_x64       
udp        0      0 127.0.0.1:4282          0.0.0.0:*                           36360/SC2_x64       
tcp        0      0 127.0.0.1:4283          0.0.0.0:*               LISTEN      36360/SC2_x64       
udp        0      0 127.0.0.1:4284          0.0.0.0:*                           36388/SC2_x64       
tcp        0      0 127.0.0.1:4285          0.0.0.0:*               LISTEN      36388/SC2_x64       
tcp        0      0 127.0.0.1:4289          0.0.0.0:*               LISTEN      36346/SC2_x64       
tcp        0      0 127.0.0.1:4290          0.0.0.0:*               LISTEN      36348/SC2_x64       
udp        0      0 127.0.0.1:4292          0.0.0.0:*                           36346/SC2_x64       
tcp        0      0 127.0.0.1:4293          0.0.0.0:*               LISTEN      36346/SC2_x64       
udp        0      0 127.0.0.1:4294          0.0.0.0:*                           36348/SC2_x64       
tcp        0      0 127.0.0.1:4295          0.0.0.0:*               LISTEN      36348/SC2_x64       
tcp        0      0 127.0.0.1:4299          0.0.0.0:*               LISTEN      36370/SC2_x64       
tcp        0      0 127.0.0.1:4300          0.0.0.0:*               LISTEN      36374/SC2_x64       
udp        0      0 127.0.0.1:4302          0.0.0.0:*                           36370/SC2_x64       
tcp        0      0 127.0.0.1:4303          0.0.0.0:*               LISTEN      36370/SC2_x64       
udp        0      0 127.0.0.1:4304          0.0.0.0:*                           36374/SC2_x64       
tcp        0      0 127.0.0.1:4305          0.0.0.0:*               LISTEN      36374/SC2_x64       
tcp        0      0 127.0.0.1:4309          0.0.0.0:*               LISTEN      36448/SC2_x64       
tcp        0      0 127.0.0.1:4310          0.0.0.0:*               LISTEN      36597/SC2_x64       
udp        0      0 127.0.0.1:4312          0.0.0.0:*                           36448/SC2_x64       
tcp        0      0 127.0.0.1:4313          0.0.0.0:*               LISTEN      36448/SC2_x64       
udp        0      0 127.0.0.1:4314          0.0.0.0:*                           36597/SC2_x64       
tcp        0      0 127.0.0.1:4315          0.0.0.0:*               LISTEN      36597/SC2_x64       
tcp        0      0 127.0.0.1:4319          0.0.0.0:*               LISTEN      36457/SC2_x64       
tcp        0      0 127.0.0.1:4320          0.0.0.0:*               LISTEN      36605/SC2_x64       
udp        0      0 127.0.0.1:4322          0.0.0.0:*                           36457/SC2_x64       
tcp        0      0 127.0.0.1:4323          0.0.0.0:*               LISTEN      36457/SC2_x64       
udp        0      0 127.0.0.1:4324          0.0.0.0:*                           36605/SC2_x64       
tcp        0      0 127.0.0.1:4325          0.0.0.0:*               LISTEN      36605/SC2_x64       
tcp        0      0 127.0.0.1:4329          0.0.0.0:*               LISTEN      36644/SC2_x64       
tcp        0      0 127.0.0.1:4330          0.0.0.0:*               LISTEN      36646/SC2_x64       
udp        0      0 127.0.0.1:4332          0.0.0.0:*                           36644/SC2_x64       
tcp        0      0 127.0.0.1:4333          0.0.0.0:*               LISTEN      36644/SC2_x64       
udp        0      0 127.0.0.1:4334          0.0.0.0:*                           36646/SC2_x64       
tcp        0      0 127.0.0.1:4335          0.0.0.0:*               LISTEN      36646/SC2_x64       
tcp        0      0 127.0.0.1:4339          0.0.0.0:*               LISTEN      36424/SC2_x64       
tcp        0      0 127.0.0.1:4340          0.0.0.0:*               LISTEN      36513/SC2_x64       
udp        0      0 127.0.0.1:4342          0.0.0.0:*                           36424/SC2_x64       
tcp        0      0 127.0.0.1:4343          0.0.0.0:*               LISTEN      36424/SC2_x64       
udp        0      0 127.0.0.1:4344          0.0.0.0:*                           36513/SC2_x64       
tcp        0      0 127.0.0.1:4345          0.0.0.0:*               LISTEN      36513/SC2_x64       
tcp        0      0 127.0.0.1:4349          0.0.0.0:*               LISTEN      36497/SC2_x64       
tcp        0      0 127.0.0.1:4350          0.0.0.0:*               LISTEN      36576/SC2_x64       
udp        0      0 127.0.0.1:4352          0.0.0.0:*                           36497/SC2_x64       
tcp        0      0 127.0.0.1:4353          0.0.0.0:*               LISTEN      36497/SC2_x64       
udp        0      0 127.0.0.1:4354          0.0.0.0:*                           36576/SC2_x64       
tcp        0      0 127.0.0.1:4355          0.0.0.0:*               LISTEN      36576/SC2_x64       
tcp        0      0 127.0.0.1:4359          0.0.0.0:*               LISTEN      36505/SC2_x64       
tcp        0      0 127.0.0.1:4360          0.0.0.0:*               LISTEN      36578/SC2_x64       
udp        0      0 127.0.0.1:4362          0.0.0.0:*                           36505/SC2_x64       
tcp        0      0 127.0.0.1:4363          0.0.0.0:*               LISTEN      36505/SC2_x64       
udp        0      0 127.0.0.1:4364          0.0.0.0:*                           36578/SC2_x64       
tcp        0      0 127.0.0.1:4365          0.0.0.0:*               LISTEN      36578/SC2_x64       
tcp        0      0 127.0.0.1:4369          0.0.0.0:*               LISTEN      36509/SC2_x64       
tcp        0      0 127.0.0.1:4370          0.0.0.0:*               LISTEN      36579/SC2_x64       
udp        0      0 127.0.0.1:4372          0.0.0.0:*                           36509/SC2_x64       
tcp        0      0 127.0.0.1:4373          0.0.0.0:*               LISTEN      36509/SC2_x64       
udp        0      0 127.0.0.1:4374          0.0.0.0:*                           36579/SC2_x64       
tcp        0      0 127.0.0.1:4375          0.0.0.0:*               LISTEN      36579/SC2_x64       
tcp        0      0 127.0.0.1:4379          0.0.0.0:*               LISTEN      36654/SC2_x64       
tcp        0      0 127.0.0.1:4380          0.0.0.0:*               LISTEN      36661/SC2_x64       
udp        0      0 127.0.0.1:4382          0.0.0.0:*                           36654/SC2_x64       
tcp        0      0 127.0.0.1:4383          0.0.0.0:*               LISTEN      36654/SC2_x64       
udp        0      0 127.0.0.1:4384          0.0.0.0:*                           36661/SC2_x64       
tcp        0      0 127.0.0.1:4385          0.0.0.0:*               LISTEN      36661/SC2_x64       
tcp        0      0 127.0.0.1:4389          0.0.0.0:*               LISTEN      36430/SC2_x64       
tcp        0      0 127.0.0.1:4390          0.0.0.0:*               LISTEN      36523/SC2_x64       
udp        0      0 127.0.0.1:4392          0.0.0.0:*                           36430/SC2_x64       
tcp        0      0 127.0.0.1:4393          0.0.0.0:*               LISTEN      36430/SC2_x64       
udp        0      0 127.0.0.1:4394          0.0.0.0:*                           36523/SC2_x64       
tcp        0      0 127.0.0.1:4395          0.0.0.0:*               LISTEN      36523/SC2_x64       
tcp        0      0 127.0.0.1:4399          0.0.0.0:*               LISTEN      36438/SC2_x64       
tcp        0      0 127.0.0.1:4400          0.0.0.0:*               LISTEN      36530/SC2_x64       
udp        0      0 127.0.0.1:4402          0.0.0.0:*                           36438/SC2_x64       
tcp        0      0 127.0.0.1:4403          0.0.0.0:*               LISTEN      36438/SC2_x64       
udp        0      0 127.0.0.1:4404          0.0.0.0:*                           36530/SC2_x64       
tcp        0      0 127.0.0.1:4405          0.0.0.0:*               LISTEN      36530/SC2_x64       
tcp        0      0 127.0.0.1:4409          0.0.0.0:*               LISTEN      36594/SC2_x64       
tcp        0      0 127.0.0.1:4410          0.0.0.0:*               LISTEN      36595/SC2_x64       
udp        0      0 127.0.0.1:4412          0.0.0.0:*                           36594/SC2_x64       
tcp        0      0 127.0.0.1:4413          0.0.0.0:*               LISTEN      36594/SC2_x64       
udp        0      0 127.0.0.1:4414          0.0.0.0:*                           36595/SC2_x64       
tcp        0      0 127.0.0.1:4415          0.0.0.0:*               LISTEN      36595/SC2_x64       
tcp        0      0 127.0.0.1:4419          0.0.0.0:*               LISTEN      36538/SC2_x64       
tcp        0      0 127.0.0.1:4420          0.0.0.0:*               LISTEN      36541/SC2_x64       
udp        0      0 127.0.0.1:4422          0.0.0.0:*                           36538/SC2_x64       
tcp        0      0 127.0.0.1:4423          0.0.0.0:*               LISTEN      36538/SC2_x64       
udp        0      0 127.0.0.1:4424          0.0.0.0:*                           36541/SC2_x64       
tcp        0      0 127.0.0.1:4425          0.0.0.0:*               LISTEN      36541/SC2_x64       
tcp        0      0 127.0.0.1:4429          0.0.0.0:*               LISTEN      36400/SC2_x64       
tcp        0      0 127.0.0.1:4430          0.0.0.0:*               LISTEN      36469/SC2_x64       
udp        0      0 127.0.0.1:4432          0.0.0.0:*                           36400/SC2_x64       
tcp        0      0 127.0.0.1:4433          0.0.0.0:*               LISTEN      36400/SC2_x64       
udp        0      0 127.0.0.1:4434          0.0.0.0:*                           36469/SC2_x64       
tcp        0      0 127.0.0.1:4435          0.0.0.0:*               LISTEN      36469/SC2_x64       
tcp        0      0 127.0.0.1:4439          0.0.0.0:*               LISTEN      36376/SC2_x64       
tcp        0      0 127.0.0.1:4440          0.0.0.0:*               LISTEN      36452/SC2_x64       
udp        0      0 127.0.0.1:4442          0.0.0.0:*                           36376/SC2_x64       
tcp        0      0 127.0.0.1:4443          0.0.0.0:*               LISTEN      36376/SC2_x64       
udp        0      0 127.0.0.1:4444          0.0.0.0:*                           36452/SC2_x64       
tcp        0      0 127.0.0.1:4445          0.0.0.0:*               LISTEN      36452/SC2_x64       
tcp        0      0 127.0.0.1:4449          0.0.0.0:*               LISTEN      36473/SC2_x64       
tcp        0      0 127.0.0.1:4450          0.0.0.0:*               LISTEN      36557/SC2_x64       
udp        0      0 127.0.0.1:4452          0.0.0.0:*                           36473/SC2_x64       
tcp        0      0 127.0.0.1:4453          0.0.0.0:*               LISTEN      36473/SC2_x64       
udp        0      0 127.0.0.1:4454          0.0.0.0:*                           36557/SC2_x64       
tcp        0      0 127.0.0.1:4455          0.0.0.0:*               LISTEN      36557/SC2_x64       
tcp        0      0 127.0.0.1:4459          0.0.0.0:*               LISTEN      36547/SC2_x64       
tcp        0      0 127.0.0.1:4460          0.0.0.0:*               LISTEN      36623/SC2_x64       
udp        0      0 127.0.0.1:4462          0.0.0.0:*                           36547/SC2_x64       
tcp        0      0 127.0.0.1:4463          0.0.0.0:*               LISTEN      36547/SC2_x64       
udp        0      0 127.0.0.1:4464          0.0.0.0:*                           36623/SC2_x64       
tcp        0      0 127.0.0.1:4465          0.0.0.0:*               LISTEN      36623/SC2_x64       
tcp        0      0 127.0.0.1:4469          0.0.0.0:*               LISTEN      36565/SC2_x64       
tcp        0      0 127.0.0.1:4470          0.0.0.0:*               LISTEN      36641/SC2_x64       
udp        0      0 127.0.0.1:4472          0.0.0.0:*                           36565/SC2_x64       
tcp        0      0 127.0.0.1:4473          0.0.0.0:*               LISTEN      36565/SC2_x64       
udp        0      0 127.0.0.1:4474          0.0.0.0:*                           36641/SC2_x64       
tcp        0      0 127.0.0.1:4475          0.0.0.0:*               LISTEN      36641/SC2_x64       
tcp        0      0 127.0.0.1:4479          0.0.0.0:*               LISTEN      36485/SC2_x64       
